persons,workers,vehicles,count,share
1,0,0,3860,0.04245770728380668
1,0,1,8520,0.09371493939327276
1,0,2,1760,0.01935895461645071
1,0,3,365,0.004014783201707108
1,1,0,1175,0.012924302087687264
1,1,1,10870,0.11956354356864729
1,1,2,2490,0.027388521019864928
1,1,3,665,0.007314605011329388
1,2,0,0,0
1,2,1,0,0
1,2,2,0,0
1,2,3,0,0
1,3,0,0,0
1,3,1,0,0
1,3,2,0,0
1,3,3,0,0
2,0,0,725,0.007974569373253844
2,0,1,2450,0.026948544778581957
2,0,2,4010,0.04410761818861782
2,0,3,1925,0.021173856611742967
2,1,0,805,0.008854521855819785
2,1,1,3360,0.03695800426776954
2,1,2,4830,0.053127131134918716
2,1,3,2575,0.02832347053259124
2,2,0,175,0.001924896055612997
2,2,1,1100,0.012099346635281694
2,2,2,6750,0.07424599071650131
2,2,3,3445,0.037892953780495855
2,3,0,0,0
2,3,1,0,0
2,3,2,0,0
2,3,3,0,0
3,0,0,285,0.0031348307191411662
3,0,1,610,0.006709637679565303
3,0,2,365,0.004014783201707108
3,0,3,270,0.0029698396286600526
3,1,0,375,0.00412477726202785
3,1,1,1750,0.019248960556129967
3,1,2,1625,0.017874034802120686
3,1,3,1040,0.01143938227335724
3,2,0,75,8.249554524055701e-4
3,2,1,470,0.005169720835074906
3,2,2,2940,0.03233825373429835
3,2,3,2325,0.025573619024572673
3,3,0,25,2.749851508018567e-4
3,3,1,50,5.499703016037134e-4
3,3,2,350,0.003849792111225994
3,3,3,1335,0.014684207052819148
4,0,0,145,0.0015949138746507688
4,0,1,305,0.0033548188397826517
4,0,2,100,0.0010999406032074267
4,0,3,225,0.0024748663572167102
4,1,0,230,0.0025298633873770816
4,1,1,1280,0.014079239721055063
4,1,2,2105,0.023153749697516334
4,1,3,1400,0.015399168444903976
4,2,0,140,0.0015399168444903974
4,2,1,795,0.008744527795499044
4,2,2,3480,0.038277932991618455
4,2,3,2345,0.02579360714521416
4,3,0,14,1.5399168444903976e-4
4,3,1,200,0.0021998812064148534
4,3,2,250,0.002749851508018567
4,3,3,2155,0.02370371999912005
