;N,Name,HBW,HBO,NHB,HBSC
1,CIVTT   ,-0.025,-0.015,-0.02,-0.015
2,CSWAIT  ,-0.05625,-0.03375,-0.045,-0.03375
3,CLWAIT  ,-0.025,-0.015,-0.02,-0.015
4,CXWAIT  ,-0.0625,-0.0375,-0.05,-0.0375
5,CCOST,-0.00158,-0.00237,-0.00253,-0.18
6,CDRIVE  ,-0.05625,-0.03375,-0.045,-0.03375
7,CTERML  ,-0.0625,-0.0375,-0.05,-0.0625
8,CWALK   ,-0.0625,-0.0375,-0.05,-0.0375
9,CWALK1  ,-0.0625,-0.0375,-0.05,-0.0375
10,CWALK2  ,-0.09375,-0.05625,-0.075,-0.05625
11,CBIKE1  ,-0.0625,-0.0375,-0.05,-0.0375
12,CBIKE2  ,-0.09375,-0.05625,-0.075,-0.05625
13,DWalkBIKE    ,1,1,1,1
14,NC1,0.5,0.5,0.5,0.5
15,NC2,0.5,0.5,0.5,0.5
16,NC3,0.5,0.5,0.5,0.5
17,CBD,0,0,0,0
18,NXFER,0,0,0,0
19,AUTOCOST,13.6,13.6,13.6,13.6
20,SHAREFAC,2,2,2,2
